"You understand and agree that the content of this document reflects order(s) placed / transaction(s) executed by you, and is solely provided for your own general information. This document does not constitute any financial, investment, legal, tax or any other advice. This document is available to you on an 'as-is' basis only, and Crypto.com is not liable for your amendment(s) to this document after export."
"Export contains maximum 65,000 data, older data after the limit will be excluded. Please review the records and adjust date range to export again to capture any additional data."
Export Date: 2025-10-31T10:23:25.471869Z[UTC]
Order ID,Time (UTC),Pair,Order Type,Side,Order Amount,Average Price,Deal Volume,Total,Trigger Condition,Status
5755600476554550077,2025-10-31 00:01:07.241,LDO_USD,MARKET,BUY,11902.4,0.8402,11902.4,9999.9811,0.0000,CANCELED
5755600476084219521,2025-10-27 01:41:44.275,EUR_USDT,MARKET,BUY,4500.0,1.16500,4500.0,5240.65500,0.00000,FILLED
5755600476084068476,2025-10-27 01:39:48.087,USDT_USD,MARKET,BUY,5000.0,1.00000,5000.0,5001.05000,0.00000,FILLED
5755600476083992371,2025-10-27 01:38:37.414,USDT_USD,LIMIT,BUY,4999.0,0,0.0,0.00000,0.00000,CANCELED
5755600475263811683,2025-10-27 00:35:51.001,SOL_USD,LIMIT,SELL,0.081,202.84,0.081,16.43,202.84,FILLED
5755600476039153731,2025-10-26 13:32:33.398,LDO_USD,MARKET,SELL,22.4,0.9575,22.4,21.4469,0.0000,FILLED
5755600476022735906,2025-10-26 09:50:12.487,ADA_USD,LIMIT,BUY,14489.0,0.63300,14489.0,9171.53700,0.00000,FILLED
5755600475894135872,2025-10-24 14:45:38.771,ETH_USD,LIMIT,SELL,5.1175,4075.00,5.1175,20853.81,0.00,FILLED
5755600475894001828,2025-10-24 14:44:11.644,ETH_USD,STOP_LIMIT,SELL,5.1175,0,0.0000,0.00,3710.00,CANCELED
5755600475893686232,2025-10-24 14:40:43.634,ETH_USD,LIMIT,BUY,5.1216,3905.00,5.1216,19999.85,0.00,FILLED
5755600475893477597,2025-10-24 14:38:53.993,BTC_USD,STOP_LIMIT,SELL,0.16675,0,0.00000,0.00,105000.00,CANCELED
5755600475893327090,2025-10-24 14:37:47.512,BTC_USD,LIMIT,SELL,0.16672,113100.00,0.16672,18856.03,0.00,FILLED
5755600475892881103,2025-10-24 14:34:17.014,BTC_USD,LIMIT,BUY,0.16672,110186.00,0.16672,18370.21,0.00,FILLED
5755600475862697591,2025-10-24 07:51:14.150,ALGO_USD,MARKET,SELL,5443,0.18353,5443,998.96060,0.00000,FILLED
5755600475862696419,2025-10-24 07:51:12.387,ALGO_USD,LIMIT,SELL,5437,0.18353,5437,997.84781,0.00000,FILLED
5755600475862696101,2025-10-24 07:51:11.969,ALGO_USD,LIMIT,SELL,5437,0,0,0.00000,0.00000,CANCELED
5755600475862689859,2025-10-24 07:51:05.125,ALGO_USD,MARKET,BUY,5443,0.18371,5443,999.93876,0.00000,CANCELED
5755600475843175504,2025-10-24 02:23:04.645,SUI_USD,LIMIT,SELL,414.0,2.53000,414.0,1047.42000,0.00000,FILLED
5755600475843174336,2025-10-24 02:23:02.898,SUI_USD,MARKET,BUY,415.2,2.40826,415.2,999.90871,0.00000,CANCELED
5755600475840157397,2025-10-24 01:23:00.888,DOGE_USD,LIMIT,SELL,5116,0.200000,5116,1023.200000,0.000000,FILLED
5755600475840155645,2025-10-24 01:22:59.125,DOGE_USD,MARKET,BUY,5122,0.195199,5122,999.811601,0.000000,CANCELED
5755600475840020757,2025-10-24 01:20:20.259,DOGE_USD,LIMIT,SELL,5118,0.200000,5118,1023.600000,0.000000,FILLED
5755600475840019783,2025-10-24 01:20:18.699,DOGE_USD,MARKET,BUY,5124,0.195154,5124,999.966629,0.000000,CANCELED
5755600475839785359,2025-10-24 01:16:02.489,DOGE_USD,MARKET,BUY,5122,0.195235,5122,999.991491,0.000000,CANCELED
5755600475782999099,2025-10-23 12:15:56.367,ADA_USD,LIMIT,BUY,14489.0,0.63383,1.9,1.20428,0.00000,CANCELED
5755600475696896151,2025-10-22 16:05:10.853,BTC_USD,LIMIT,SELL,0.00018,108486.00,0.00018,19.53,0.00,FILLED
5755600475696895058,2025-10-22 16:05:10.574,BTC_USD,LIMIT,SELL,0.00018,0,0.00000,0.00,0.00,CANCELED
5755600475696890618,2025-10-22 16:05:08.500,BTC_USD,MARKET,BUY,0.00018,108492.67,0.00018,19.53,0.00,CANCELED
5755600475696255055,2025-10-22 15:59:26.983,DOT_USDT,MARKET,BUY,6.69,2.9891,6.69,19.9969,0.0000,CANCELED
5755600475694807833,2025-10-22 15:45:19.947,LDO_USDT,MARKET,BUY,22.4,0.8901,22.4,19.9373,0.0000,CANCELED
5755600475263812032,2025-10-18 14:28:08.063,SOL_USD,STOP_LIMIT,SELL,0.081,0,0.000,0.00,175.18,CANCELED
5755600475263809293,2025-10-18 14:28:03.972,SOL_USD,MARKET,BUY,0.081,184.41,0.081,14.94,0.00,CANCELED
5755600474229109953,2025-10-17 08:04:40.000,BTC_USD,LIMIT,SELL,0.09031,105191.00,0.09031,9499.80,105191.00,FILLED
5755600474144313173,2025-10-17 07:06:20.001,BTC_USD,LIMIT,SELL,0.17700,106695.00,0.17700,18885.02,106695.00,FILLED
5755600474901587737,2025-10-16 16:04:26.001,NEAR_USD,LIMIT,SELL,4267.3,2.2220,4267.3,9481.9409,2.2220,FILLED
5755600474901604179,2025-10-16 01:14:40.098,NEAR_USD,LIMIT,SELL,4267.3,0,0.0,0.0000,0.0000,CANCELED
5755600474901539869,2025-10-16 01:13:44.022,NEAR_USD,LIMIT,BUY,4275.3,2.3376,4275.3,9993.7312,0.0000,FILLED
5755600474592768675,2025-10-15 20:30:58.000,ADA_USD,LIMIT,SELL,14401.2,0.66200,14401.2,9533.59440,0.66200,FILLED
5755600474592671601,2025-10-15 20:30:58.000,ADA_USD,LIMIT,SELL,14401.2,0.66200,14401.2,9533.59440,0.66200,FILLED
5755600474601815013,2025-10-14 10:34:56.001,BONK_USD,LIMIT,SELL,639000000,0.000000000,639000000,9585.000000000,0.000015000,FILLED
5755600474601871148,2025-10-14 06:42:15.796,BONK_USD,LIMIT,SELL,639000000,0,0,0.000000000,0.000000000,CANCELED
5755600474601337263,2025-10-14 06:39:20.744,BONK_USD,LIMIT,BUY,639050000,0.000020000,639050000,9998.890020000,0.000000000,FILLED
5755600474592897600,2025-10-14 05:45:33.886,ADA_USD,LIMIT,SELL,14401.2,0,0.0,0.00000,0.00000,CANCELED
